UserID, Paassword, Age, City
admin, password, 25, Chicago
Tony101, password, 35, Chicago
sk8rman5000, password, 17, New York
th3r0ck, password, 40, Los Angeles
j0hnnyb0y, password, 28, Miami
sara_s, password, 22, San Francisco
m1chaelg, password, 55, Houston
emily987, password, 31, Seattle
d3v1lslayer, password, 19, Boston
l1zzyb, password, 43, Philadelphia
b0bthec0der, password, 25, Austin
kate23, password, 37, Denver
aaronk, password, 44, Atlanta
gr3gsmith, password, 29, Dallas
rachel88, password, 34, Washington D.C.
sammyjones, password, 20, Orlando
t3rry00, password, 42, San Diego
j3nnyb, password, 24, Portland
d4v1dlee, password, 38, Phoenix
sophie42, password, 27, Las Vegas
rob98, password, 41, San Antonio
t1mmyw, password, 32, Detroit
amyc123, password, 23, Nashville
b3nthomas, password, 33, Raleigh
j3ssicaj, password, 26, Charlotte
m1k3brown, password, 30, Indianapolis
chrissmith33, password, 36, Columbus
olivia22, password, 21, Kansas City
j4ckw1ll1ams, password, 39, St. Louis
lauraw, password, 45, Minneapolis
st3ph3nking, password, 18, Salt Lake City
